6;6;6;6;6;8;;8;9;9;9;9;9;8;8;3;3;3;3;3;3;3;;;;;7;7;;7;7;
6;6;6;;;6;;8;8;8;9;9;9;9;;3;3;3;3;3;3;3;;;;;;7;;;7;7
6;;6;;;6;;9;8;8;;8;;9;8;;3;3;3;3;;3;3;;;;;7;7;7;7;7
6;6;6;6;;6;;;;;;;;;;3;3;;;3;3;;3;;;;;7;7;7;7;7
6;6;;6;6;;6;;;;;;;;9;9;9;9;;3;;3;3;3;;;;;7;;7;7
6;6;;6;;;;;;5;;;;;;;;;;;;;;3;;;;;;;7;7
;;6;6;5;;;;;5;5;9;3;9;;;;;;;;;;3;;;;;;;7;
;;;6;;;;;;5;5;;;1;9;9;;;;;;;;3;;;;3;;;7;7
;;;;;;;;;;;;8;3;;;9;;;;;;;;;1;;;;3;7;7
;;;;;;;;;;;;3;5;9;;9;;;;;;;;3;3;;;;;7;
0;;;;;;;;;;;;5;5;;;;;;;;;;;;;;;;;9;9
0;0;0;;;;;;;;;;;;5;5;;;;;;;;;;;;;;9;7;9
0;0;0;;0;;;;;;;;5;5;5;;;5;;;;;;;;;;;;;;4
0;0;;0;0;0;;;;;;;5;5;5;5;5;5;;;;;;;;;;;;;;4
0;0;;;0;0;;;;;;;;;5;5;5;5;5;;;;;;;;3;8;;;;
0;;0;0;;;;;;;;;;;;5;5;5;;;;;;;;;;8;8;8;5;
0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;5;5;
;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;8;5;
0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5
0;;;;;;;;;;;;;;;;8;8;8;8;;;;;;;;5;;;5;5
;0;;;;;;;;;;;;;;;8;;8;8;8;8;8;;;;;;;;;
;;;;;;;;;;;;;;;;;;8;8;8;;8;;;;;;;;;
;;;;;4;4;4;;;;;;;;;;;8;8;8;8;;;;;;;;;;
;4;;;;4;4;4;;;;8;;;;8;8;;8;8;8;8;;;;;;;;;;2
;4;4;;4;4;;;;;;;;;;;;8;;8;8;;;;;;;;;;2;2
4;4;4;4;4;4;;;;;;;;;1;;;8;;;;;;;;;;;2;2;;2
4;4;;;4;4;;;;;;;;;;;;;;;;;;;;;2;2;2;;;2
4;4;;;4;;;;;;8;;;;;;8;;;;;;;;;;;2;2;;;2
4;4;;;;;;;;;;;;8;;;;1;8;;;;;;;;;2;2;2;2;2
9;8;;;;;;;;1;;1;;;;;1;1;;;;;;;;;;2;2;2;;2
;4;;;;;;4;;1;1;1;;;8;;;1;;;;;;;;;2;;2;2;;2
9;7;;9;;1;1;1;1;1;1;;1;1;1;1;1;1;1;8;8;;;1;3;2;2;2;2;2;2;2
