3;3,9;3;3;3;3,9;3;3;3;3;3;8;8;8;8;8;8;8;8;;;6;6;6;6;;6;;6;6;6;6;
3;;3;3;3;3,8;3;3;3;;;3;;;;8;;8;;;;6;4,6;6;6;6;;;;;6;6;
3;3;3;3;3;;;;;;;;;;;;;;8;8;;6;;6;6;;;;;;;6;
3;;;;;;;;;3,9;;;;;8;;;;;;;;;;;6;;;;;;6;
;3;;;;;;;;;8;;;8;8;;;;;;;;;;;5;;;;;;6;
9;1;;;;;;;;;;8;;8;8;8;;;;;;;;;;;;;;;;6;
;;;;;3;;;;;;;;;8;8;;;;;;9;;;;;;;;;;;
2;;;;;;;;;;;;;8;8;8;;;;;;;;;;;;;;;;4;
2;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;4;4;;
2;;2;;;;;;;;;;;8;;8;;;;;;;;;;4;;;;4;;4;
2;2;2;;;;;;;;;;;;;;;;;;;;;;4;4;4;4;;4;4;4;
2;2;2;;2;;;;;;;8;;;;;;;;;;;;;4;4;4;;;4;4;4;
2;;;;;;;;;;8;1;1;;;;;;;;;8;9;9;4;;;;;4;4;4;
2;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;4;;
2;2;;;;1,2;;;;;1,8;1,8;1;;;;;;;;;;;;;;;;;;;4;
2;;2;;;;;;;;1;;1;1;;;;;;;;;;;;;;;;;;4;
2;2;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;
2;2;2;;;;;1;;;;1;1;1;;1;;1;1;1,7;;;;;;;;;;;;0;
2;2;;;;;;1;8;;;;;;;;;1,4;1;1;9;1,9;;;;;;;;;;0;
2;2;;;;;;8;;;;;;;;;8;;1;;;9;5,9;;;;;;;;;0;
2;;;;;;;;;;;;;;;;;;;;;9;;;;;0;;0;;0;0;
2;;;;;8;8;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;
2;;;;8;8;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;
7;;;;9;8;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;
;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;0;0;0;
7;;7;;;;;;;9;;;;;;;;;;;;;;;;;;;;0;0;0;
7;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;0;
7;7;;;7;;;;7,8,9;4;;;;;;;;;;;;;;;;;;;;;;6;
7;;7;7;7;;;;;;;;;;;;;;;;;;;;8;;8;8,9;;;;;
;7;7;7;;;9;;;;8;;;;5;5;;;5;3;;;;;;;;9;8;9;;;
7;7;7;7;7;;;;;;5;;;5;5;5;;5;5;5;;5;;;;9;9;9;9;;9;3,5,9;
7;7;7;7;7;3,7;3,7;7;;;;5;5;5;;5;5;5;;5;5;5;5;5,9;8,9;9;8,9;9;8,9;9;9;3,5,9;
