0;0;;0;0;0;;;5,9;5,9;3;;9;;;3;3;3;3;3;3;3;3;3;3;3;3;3,7;7;7;7;7;
0;;;0;;;;;9;5;;;;;;;;3;;9;3,8;3;;;3;;;;9;7;7;7;
0;0;;0;;0;;;;;;;;;;;;;3,9;3,9;3;;;3;;;;;;;7;7;
0;;0;0;0;;;;;;5;9;;;;;8;3;3;3;3;3;3;3;;;;;;7;;;
;;0;0;;;;;;;5,9;;;;9;;;;3;;3;3;3;;;;;;7;7;7;7;
0;0;0;;;;;;;8,9;5,9;;9;9;9;;;;3;3;;;;;;;;;;;7;2,7;
0;;0;0;;;;;;8;;;;9;9;9;8,9;;;;;;;;;;;7;7;;7;7;
0;;;;;;;;5;5;5;5;;9;;;;3,8,9;;;;;;;;;;;7;;;7;
0;;;;;;9;;5;5;5;3,5;9;;;;;8,9;;;;;;;;;7;7;;7;7;7;
;;;;;;;;;;5;5;;;;;;;;;;;;;;;;;;;;;
2;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;7;
6;4;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;7,8,9;
6;6;6;6;5;;;;8;;;;;;;;;;;;;;;;;;;;;;4;;
6;6;;;;;;;8;8;;;8;;;;;;;;;;;;;;;;;4;;;
6;;;;6;;;;8;8;8;;8;8,9;;;;;5;;;;;;;;;;;9;;9;
6;6;;6;;;6;8;;8;8;8;8;;;;;;5;5;5;;;;;;;;;;4;;
6;6;;;;;;;;8;;8;;;;;;;5;5;5;;;;5;;;;;;;7;
6;6;6;6;;;8;;;;;;8;;;;;;;5;5;5;5;;;;;;;;8;;
;6;6;6;;;;;;;;;;;;;;;;;5;5;5;5;5;;;;;;;8;
6;;6;6;;;;;;;;;;;;;;;;;;;5;5;5;5;1,8;8;8;;;;
6;6;6;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;8;
6;;;;;;;;8;;;;;;;;;;;;;;;;8;;8;;;;;2;
6;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;4;;;;;;;1,7;;;1;;;;;;;;;;;;;;;;;;;;2;
4;;;;;;;1;1;1;;;;;;;;;;8;8;;;;;;;2;;;;2;
4;4;4;;;;;4;4;1;1;;;;;;;;8;;8;8;;;;;;;;;2;2;
4;4;4;;;;;;;1;1;;;;;8;;;;;8;;8;;;;8;;2;2;;2;
4;;4;;;;;;;1,7;1;1;;;;;;;;8;;8;;;;;;2;2;;2;2;
;;;;;;;;;;;;1,3;1;;;;;;;1;1;1;8;;;;;2;;;2;
4;4;;;;;4;;1;9;;;;;;;;;;;;1,8;1;1;;;;;2;2;2;2;
4;;4;4;4;;;;;;;;;;;9;1;1;;8;8;1,8;1;;1;;;2;;2;;2;
4;4;;4;4;4;9;9;0,9;9;5,9;;;8;;1;1;1;1;;;1,8;8;1;;;;;2;2;2;2;
